block_id,stratum,screen_rank,n_stratum,n_sampled,weight,dd_proxy,ob_count,area_ha,survey_cover,survey_label,place,maps,verdict,notes
ZAF.9.3.1_1_39914,10to30pct,3147,3662,25,146.48,0.0128506,99,1.62,0.000,formal,Bishop Lavis,"https://www.google.com/maps/@-33.95261,18.57995,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_22092,10to30pct,3258,3662,25,146.48,0.0126886,92,1.29,0.000,formal,Khaya,"https://www.google.com/maps/@-34.04214,18.65627,18.8z/data=!3m1!1e3",,
ZAF.9.3.1_1_18099,10to30pct,3387,3662,25,146.48,0.0124432,73,0.96,0.000,formal,Voorbrug,"https://www.google.com/maps/@-33.96779,18.64654,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_37813,10to30pct,3751,3662,25,146.48,0.0117558,61,0.97,0.000,formal,Eureka,"https://www.google.com/maps/@-33.93913,18.59250,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_40760,10to30pct,3873,3662,25,146.48,0.0115492,74,1.26,0.000,formal,Cape Town Ward 31,"https://www.google.com/maps/@-33.95571,18.55331,19.3z/data=!3m1!1e3",,
ZAF.9.3.1_1_48247,10to30pct,4380,3662,25,146.48,0.0107796,66,1.23,0.000,formal,Hanover Park,"https://www.google.com/maps/@-33.99859,18.52298,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_18184,10to30pct,4473,3662,25,146.48,0.0106469,95,1.64,0.000,formal,The Hague,"https://www.google.com/maps/@-33.95464,18.63609,19.1z/data=!3m1!1e3",some-dense-informal,informal fabric; through-road; low depth
ZAF.9.3.1_1_18202,10to30pct,4616,3662,25,146.48,0.0104255,30,0.37,0.000,formal,Cape Town Ward 13,"https://www.google.com/maps/@-33.95436,18.63402,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_18730,10to30pct,4668,3662,25,146.48,0.0103587,103,1.61,0.000,formal,Wesbank,"https://www.google.com/maps/@-33.97584,18.65577,18.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_18990,10to30pct,4692,3662,25,146.48,0.0103293,55,0.72,0.000,formal,Wesbank,"https://www.google.com/maps/@-33.97388,18.65429,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_20496,10to30pct,4795,3662,25,146.48,0.0101896,46,0.62,0.000,formal,Umrhabulo Triangle (Makhaza),"https://www.google.com/maps/@-34.03965,18.69655,19.5z/data=!3m1!1e3",some-dense-informal,informal fabric but a 2-row strip with a street on each side; low depth
ZAF.9.3.1_1_40094,10to30pct,4862,3662,25,146.48,0.0100911,41,0.59,0.013,formal,Nooitgedacht,"https://www.google.com/maps/@-33.95465,18.57133,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_37124,10to30pct,5128,3662,25,146.48,0.00972182,63,1.15,0.000,formal,Belhar,"https://www.google.com/maps/@-33.94657,18.62771,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_42863,10to30pct,5152,3662,25,146.48,0.00968369,56,1.01,0.000,formal,Lentegeur,"https://www.google.com/maps/@-34.02749,18.61841,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_22028,10to30pct,5242,3662,25,146.48,0.00955757,55,0.82,0.000,formal,Khaya,"https://www.google.com/maps/@-34.04208,18.66215,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_35343,10to30pct,5248,3662,25,146.48,0.00955111,82,1.58,0.000,formal,Windermere,"https://www.google.com/maps/@-33.90960,18.52083,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_20842,10to30pct,5301,3662,25,146.48,0.0094759,45,0.62,0.000,formal,Kuyasa,"https://www.google.com/maps/@-34.04794,18.68454,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_14552,rest,6000,12817,28,457.75,0.00859587,60,1.02,0.000,formal,Macassar Village Estate,"https://www.google.com/maps/@-34.05743,18.75119,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_15703,rest,6575,12817,28,457.75,0.00801933,72,1.94,0.000,formal,Highbury,"https://www.google.com/maps/@-33.95013,18.68032,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_53959,rest,6789,12817,28,457.75,0.00777953,156,5.75,0.000,formal,Cape Town Ward 65,"https://www.google.com/maps/@-34.04066,18.49959,18.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_19138,rest,6862,12817,28,457.75,0.00772123,39,0.70,0.000,formal,Voorbrug,"https://www.google.com/maps/@-33.98410,18.64886,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_44517,rest,7711,12817,28,457.75,0.00698827,56,1.16,0.000,formal,Cape Town Ward 43,"https://www.google.com/maps/@-34.07199,18.59118,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_30447,rest,9239,12817,28,457.75,0.00584254,84,2.63,0.000,formal,Cape Town Ward 30,"https://www.google.com/maps/@-33.91596,18.55378,18.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_10642,rest,9471,12817,28,457.75,0.0056647,82,2.84,0.000,formal,Soneike,"https://www.google.com/maps/@-33.91191,18.67999,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_24442,rest,9695,12817,28,457.75,0.00550847,65,2.27,0.000,formal,Park Estates,"https://www.google.com/maps/@-34.10875,18.83167,19.0z/data=!3m1!1e3",,
ZAF.9.3.1_1_20856,rest,9741,12817,28,457.75,0.00547231,149,6.96,0.000,formal,Mandela Park (Makaya),"https://www.google.com/maps/@-34.05125,18.68328,18.0z/data=!3m1!1e3",,
ZAF.9.3.1_1_6378,rest,10078,12817,28,457.75,0.00525619,32,0.86,0.000,formal,Cape Town Ward 6,"https://www.google.com/maps/@-33.86917,18.72759,19.5z/data=!3m1!1e3",,
ZAF.9.3.1_1_8249,rest,10139,12817,28,457.75,0.00521389,66,2.11,0.000,formal,Windsor Park,"https://www.google.com/maps/@-33.83943,18.71968,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_49583,rest,10525,12817,28,457.75,0.00500961,65,2.42,0.000,formal,Park Estate,"https://www.google.com/maps/@-33.95900,18.49203,18.9z/data=!3m1!1e3",,
ZAF.9.6.5_1_5132,rest,10857,12817,28,457.75,0.00483248,46,1.39,0.000,formal,Swartland Ward 4,"https://www.google.com/maps/@-33.52848,18.59766,19.2z/data=!3m1!1e3",,
ZAF.9.3.1_1_18186,rest,11653,12817,28,457.75,0.00437285,38,1.19,0.000,formal,The Hague,"https://www.google.com/maps/@-33.95681,18.63745,19.4z/data=!3m1!1e3",,
ZAF.9.3.1_1_12698,rest,11835,12817,28,457.75,0.00427867,55,2.02,0.000,formal,Cape Town Ward 10,"https://www.google.com/maps/@-33.89536,18.64157,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_47688,rest,12742,12817,28,457.75,0.00374741,43,1.66,0.000,formal,Surrey,"https://www.google.com/maps/@-33.97443,18.53913,19.0z/data=!3m1!1e3",,
ZAF.9.3.1_1_45550,rest,12913,12817,28,457.75,0.00364331,77,3.55,0.000,formal,Cape Town Ward 43,"https://www.google.com/maps/@-34.07321,18.55377,18.7z/data=!3m1!1e3",,
ZAF.9.3.1_1_2118,rest,13146,12817,28,457.75,0.0035123,40,1.69,0.000,formal,Duynefontein,"https://www.google.com/maps/@-33.68701,18.45096,19.1z/data=!3m1!1e3",,
ZAF.9.3.1_1_47935,rest,13332,12817,28,457.75,0.00340598,39,1.39,0.000,formal,Cape Town Ward 48,"https://www.google.com/maps/@-33.98334,18.52772,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_43918,rest,13774,12817,28,457.75,0.00316677,41,1.80,0.000,formal,Westridge,"https://www.google.com/maps/@-34.04977,18.60169,18.9z/data=!3m1!1e3",,
ZAF.9.3.1_1_63648,rest,14043,12817,28,457.75,0.00301177,32,1.39,0.000,formal,Cape Town Ward 69,"https://www.google.com/maps/@-34.13236,18.38760,19.3z/data=!3m1!1e3",,
